지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
11110,내수동,경희궁의아침3단지,123.13,"180,000",2004,2021-01-17,13
11110,내수동,경희궁의아침2단지,174.55,"175,000",2004,2021-01-15,4
11110,홍파동,경희궁자이(2단지),84.907,"175,000",2017,2021-01-09,4
11110,무악동,현대,84.92,"112,400",2000,2021-01-02,6
11110,무악동,현대,60,"86,500",2000,2021-01-17,1
11110,숭인동,할리우드파크아파트,69.94,"53,000",2014,2021-01-30,2
11110,창신동,창신쌍용2,79.87,"74,000",1993,2021-01-28,7
11110,인의동,효성쥬얼리시티,84.98,"86,500",2006,2021-01-25,9
11110,무악동,현대,84.92,"109,990",2000,2021-01-30,9
11110,숭인동,할리우드파크아파트,75.25,"52,000",2014,2021-01-25,4
11110,창신동,두산,84.9,"92,000",1999,2021-01-19,5
11110,창신동,두산,84.9,"102,000",1999,2021-01-25,6
11110,창신동,창림,59.67,"32,000",1994,2021-01-26,4
11110,숭인동,삼전솔하임4차,15.09,"12,000",2014,2021-01-30,14
11110,평창동,일성빌라트,84.99,"67,900",1996,2021-01-18,5
11110,무악동,현대,60,"86,470",2000,2021-01-17,1
11110,충신동,CS타워,22.17,"15,000",2011,2021-01-23,7
11110,창신동,창신쌍용1,54.7,"63,500",1992,2021-01-29,9
11110,평창동,엘리시아,236.07,"123,000",2009,2021-01-12,5
11110,숭인동,종로동광모닝스카이,15.855,"10,800",2013,2021-01-13,11
11110,창신동,창신쌍용1,79.87,"73,000",1992,2021-01-21,2
11110,창신동,창신쌍용2,64.66,"64,000",1993,2021-01-23,4
11110,창신동,창신이수,84.5,"83,500",2003,2021-01-23,9
11110,견지동,대성스카이렉스,149.8,"127,000",2008,2021-01-25,11
11110,내수동,경희궁의아침2단지,174.55,"175,000",2004,2021-01-15,4
11110,명륜2가,명륜동주상복합아남아파트,172.17,"160,000",1999,2021-01-12,8
11110,창신동,창신쌍용2,79.87,"74,000",1993,2021-01-16,14
11110,무악동,현대,84.92,"116,000",2000,2021-01-14,14
11110,청운동,청운현대,129.76,"130,000",2000,2021-01-14,2
11110,창신동,창신쌍용2,64.66,"67,500",1993,2021-01-16,7
11110,무악동,경희궁롯데캐슬,59.6737,"135,000",2019,2021-01-22,13
11110,평동,경희궁자이(3단지),84.836,"190,000",2017,2021-01-07,7
11110,사직동,광화문스페이스본(106동),144.52,"150,000",2008,2021-01-07,6
11110,익선동,현대뜨레비앙,45.5,"29,500",2003,2021-01-26,4
11110,홍파동,경희궁자이(2단지),84.907,"175,000",2017,2021-01-09,4
11110,명륜2가,명륜동주상복합아남아파트,172.17,"160,000",1999,2021-01-22,8
11110,명륜2가,아남1,84.9,"110,000",1995,2021-01-12,7
11110,무악동,인왕산아이파크,114.931,"120,000",2008,2021-01-27,9
11110,숭인동,종로센트레빌,59.92,"81,000",2008,2021-01-14,3
11110,무악동,현대,60,"89,970",2000,2021-01-09,4
11110,무악동,경희궁롯데캐슬,59.6737,"138,000",2019,2021-01-15,4
11110,평창동,삼성,84.93,"70,000",1998,2021-01-09,6
11110,창신동,창신쌍용2,54.7,"61,500",1993,2021-01-27,8
11110,행촌동,대성아파트,30.28,"16,000",1971,2021-01-23,1
11110,숭인동,종로청계힐스테이트,59.9426,"84,000",2009,2021-01-11,8
11110,무악동,현대,84.92,"112,400",2000,2021-01-02,6
11110,무악동,인왕산2차아이파크,84.0283,"125,000",2015,2021-01-09,4
11110,내수동,경희궁의아침3단지,123.13,"180,000",2004,2021-01-17,13
11110,익선동,현대뜨레비앙,45.5,"29,800",2003,2021-01-07,5
11110,숭인동,롯데캐슬천지인,111.73,"107,750",2004,2021-01-04,5
11110,교북동,경희궁자이(4단지),45.879,"114,000",2017,2021-01-16,17
11110,창신동,창신쌍용2,115.53,"88,000",1993,2021-01-02,2
11110,명륜1가,송림아마레스아파트,84.62,"63,000",2003,2021-01-15,1
