지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
47290,압량읍 신대리,경산푸르지오,74.967,"31,500",2015,2021-01-22,12
47290,계양동,계양주공,46.74,"12,000",1985,2021-01-22,3
47290,사동,초원파크,59.95,"6,800",1991,2021-01-15,9
47290,정평동,우방맨션2차,72.17,"22,150",1991,2021-01-30,9
47290,사동,팰리스부영1단지,84.9898,"26,300",2019,2021-01-05,10
47290,옥곡동,부영우리마을(2단지),84.9751,"17,500",2005,2021-01-24,7
47290,백천동,청담시티101동,122.686,"34,800",2018,2021-01-09,3
47290,하양읍 금락리,하양우방3차,84.99,"19,200",1994,2021-01-30,22
47290,계양동,계양주공,47.1,"13,000",1985,2021-01-26,4
47290,하양읍 금락리,하양우방3차,84.99,"19,700",1994,2021-01-27,9
47290,진량읍 봉회리,경산3차삼주봉황타운,59.62,"7,450",1997,2021-01-29,10
47290,진량읍 북리,우림필유,84.9019,"22,300",2007,2021-01-30,11
47290,정평동,현대타운,84.99,"30,900",1996,2021-01-30,11
47290,사정동,옥산서한이다음,84.9455,"24,100",2005,2021-01-29,12
47290,압량읍 신대리,경산코아루아파트,84.9886,"32,000",2015,2021-01-30,2
47290,사동,팰리스부영1단지,84.9898,"23,900",2019,2021-01-26,1
47290,압량읍 신대리,경산코아루아파트,84.9886,"32,400",2015,2021-01-30,12
47290,하양읍 동서리,하나맨션(2차),79.495,"11,000",1992,2021-01-23,9
47290,옥곡동,성암산신동아파밀리에,134.855,"39,600",2009,2021-01-16,2
47290,정평동,우방맨션2차,72.17,"22,150",1991,2021-01-30,9
47290,하양읍 동서리,하양청구2차,121.29,"27,800",2001,2021-01-30,5
47290,하양읍 동서리,삼우궁전맨션,84.81,"11,900",1992,2021-01-25,3
47290,옥곡동,부영두리마을(3단지),84.9751,"18,800",2006,2021-01-27,11
47290,옥곡동,부영두리마을(3단지),84.9751,"19,300",2006,2021-01-24,8
47290,상방동,태성맨션,84.91,"12,500",1995,2021-01-23,16
47290,압량읍 신대리,부영사랑으로2차,59.9605,"16,650",2011,2021-01-31,7
47290,압량읍 신대리,부영사랑으로2차,59.9605,"17,000",2011,2021-01-30,10
47290,하양읍 동서리,하나맨션(2차),79.495,"11,200",1992,2021-01-20,11
47290,하양읍 금락리,하양2차롯데낙천대,59.9675,"18,200",2006,2021-01-30,10
47290,옥산동,협화타운,56.56,"9,500",1994,2021-01-25,6
47290,옥곡동,부영우리마을(2단지),84.9751,"17,600",2005,2021-01-26,4
47290,옥곡동,부영우리마을(2단지),84.9751,"18,800",2005,2021-01-26,10
47290,계양동,계양주공,46.74,"13,000",1985,2021-01-23,2
47290,사정동,창신신천지1차,68.31,"12,500",1989,2021-01-27,5
47290,계양동,계양주공,31.98,"8,100",1985,2021-01-24,4
47290,백천동,경산백천신나리,59.933,"13,550",2005,2021-01-28,14
47290,진량읍 황제리,창신황제타운,59.91,"6,000",1996,2021-01-22,18
47290,계양동,계양주공,39.72,"9,500",1985,2021-01-23,5
47290,옥곡동,웰리치성암,131.246,"30,500",2006,2021-01-08,5
47290,진량읍 황제리,창신황제타운,59.91,"5,800",1996,2021-01-22,19
47290,백천동,경산백천월드메르디앙,84.9481,"23,500",2005,2021-01-25,14
47290,백천동,부영초록마을,84.9751,"16,000",2004,2021-01-29,5
47290,상방동,태성맨션,84.91,"13,000",1995,2021-01-22,13
47290,정평동,현대타운,84.99,"28,800",1996,2021-01-18,5
47290,중방동,중방e-편한세상3단지,84.895,"43,100",2010,2021-01-31,11
47290,임당동,영남대역코아루더테라스,82.795,"20,950",2016,2021-01-30,4
47290,계양동,계양주공,46.74,"12,000",1985,2021-01-22,3
47290,사동,효동맨션,59.935,"7,000",1994,2021-01-26,4
47290,정평동,현대타운,84.99,"31,500",1996,2021-01-24,18
47290,옥곡동,부영우리마을(2단지),84.9751,"17,500",2005,2021-01-24,7
47290,하양읍 금락리,하양우방3차,59.43,"14,900",1994,2021-01-19,24
47290,진량읍 부기리,창신무학타운,59.91,"8,700",1996,2021-01-18,2
47290,옥산동,청구,71.94,"14,500",1993,2021-01-21,7
47290,옥산동,우방타운,102.7,"21,600",1993,2021-01-24,3
47290,옥산동,창신성암타운,84.99,"15,800",1993,2021-01-30,10
47290,사동,창신백조1,44.325,"6,100",1990,2021-01-23,2
