법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
잠실동,리센츠,84.99,85250,2008,2013-02-15,23,석촌역,개통 전
잠실동,리센츠,84.99,89800,2008,2013-02-02,23,석촌역,개통 전
잠실동,리센츠,84.99,95000,2008,2013-03-12,23,석촌역,개통 전
잠실동,리센츠,84.99,89800,2008,2013-04-06,23,석촌역,개통 전
잠실동,리센츠,84.99,94500,2008,2013-04-01,23,석촌역,개통 전
잠실동,리센츠,84.99,90000,2008,2013-07-29,23,석촌역,개통 전
잠실동,리센츠,84.99,90000,2008,2013-07-23,23,석촌역,개통 전
잠실동,리센츠,84.99,92500,2008,2013-09-10,23,석촌역,개통 전
잠실동,리센츠,84.99,93000,2008,2013-10-05,23,석촌역,개통 전
잠실동,리센츠,84.99,93000,2008,2013-12-27,23,석촌역,개통 전
잠실동,리센츠,84.99,96500,2008,2013-12-12,23,석촌역,개통 전
잠실동,리센츠,84.99,89800,2008,2013-12-10,23,석촌역,개통 전
잠실동,리센츠,84.99,97000,2008,2014-02-27,23,석촌역,개통 전
잠실동,리센츠,84.99,95500,2008,2014-03-01,23,석촌역,개통 전
잠실동,리센츠,84.99,105000,2008,2014-06-22,23,석촌역,개통 전
잠실동,리센츠,84.99,98000,2008,2014-06-13,23,석촌역,개통 전
잠실동,리센츠,84.99,104000,2008,2014-09-20,23,석촌역,개통 전
잠실동,리센츠,84.99,95800,2008,2014-09-06,23,석촌역,개통 전
잠실동,리센츠,84.99,104900,2008,2015-01-12,23,석촌역,개통 전
잠실동,리센츠,84.99,107000,2008,2015-04-02,23,석촌역,개통 전
잠실동,리센츠,84.99,98500,2008,2015-05-01,23,석촌역,개통 전
잠실동,리센츠,84.99,103000,2008,2015-08-17,23,석촌역,개통 전
잠실동,리센츠,84.99,104500,2008,2015-11-15,23,석촌역,개통 전
잠실동,리센츠,84.99,99500,2008,2015-11-04,23,석촌역,개통 전
잠실동,리센츠,84.99,108500,2008,2016-04-20,23,석촌역,개통 전
잠실동,리센츠,84.99,107500,2008,2016-04-08,23,석촌역,개통 전
잠실동,리센츠,84.99,110000,2008,2016-06-03,23,석촌역,개통 전
잠실동,리센츠,84.99,106000,2008,2016-06-11,23,석촌역,개통 전
잠실동,리센츠,84.99,110000,2008,2016-06-15,23,석촌역,개통 전
잠실동,리센츠,84.99,107500,2008,2016-06-18,23,석촌역,개통 전
잠실동,리센츠,84.99,110000,2008,2016-07-18,23,석촌역,개통 전
잠실동,리센츠,84.99,113000,2008,2016-08-12,23,석촌역,개통 전
잠실동,리센츠,84.99,113000,2008,2016-09-06,23,석촌역,개통 전
잠실동,리센츠,84.99,118200,2008,2016-10-12,23,석촌역,개통 전
잠실동,리센츠,84.99,123000,2008,2017-05-16,23,석촌역,개통 전
잠실동,리센츠,84.99,124800,2008,2017-05-26,23,석촌역,개통 전
잠실동,리센츠,84.99,135000,2008,2017-06-01,23,석촌역,개통 전
잠실동,리센츠,84.99,139000,2008,2017-08-30,23,석촌역,개통 전
잠실동,리센츠,84.99,133000,2008,2017-08-25,23,석촌역,개통 전
잠실동,리센츠,84.99,150000,2008,2017-12-09,23,석촌역,개통 전
잠실동,리센츠,84.99,162000,2008,2018-01-13,23,석촌역,개통 전
잠실동,리센츠,84.99,151000,2008,2018-07-17,23,석촌역,개통 전
잠실동,리센츠,84.99,163000,2008,2018-08-07,23,석촌역,개통 전
잠실동,리센츠,84.99,175000,2008,2018-09-07,23,석촌역,개통 전
잠실동,리센츠,84.99,169000,2008,2019-06-22,23,석촌역,개통 후
잠실동,리센츠,84.99,170000,2008,2019-06-22,23,석촌역,개통 후
잠실동,리센츠,84.99,180000,2008,2019-07-06,23,석촌역,개통 후
잠실동,리센츠,84.99,188000,2008,2019-11-23,23,석촌역,개통 후
잠실동,리센츠,84.99,192000,2008,2019-11-22,23,석촌역,개통 후
잠실동,리센츠,84.99,192000,2008,2019-11-26,23,석촌역,개통 후
잠실동,리센츠,84.99,196000,2008,2020-05-30,23,석촌역,개통 후
잠실동,리센츠,84.99,188000,2008,2020-05-13,23,석촌역,개통 후
잠실동,리센츠,84.99,228000,2008,2020-12-26,23,석촌역,개통 후
잠실동,리센츠,84.99,223000,2008,2020-12-21,23,석촌역,개통 후
잠실동,리센츠,84.99,223000,2008,2021-01-15,23,석촌역,개통 후
잠실동,리센츠,84.99,235000,2008,2021-03-31,23,석촌역,개통 후
잠실동,리센츠,84.99,204000,2008,2022-11-12,23,석촌역,개통 후
잠실동,리센츠,84.99,220000,2008,2023-03-29,23,석촌역,개통 후
잠실동,리센츠,84.99,209500,2008,2023-03-11,23,석촌역,개통 후
잠실동,리센츠,84.99,217000,2008,2023-03-20,23,석촌역,개통 후
잠실동,리센츠,84.99,218000,2008,2023-05-12,23,석촌역,개통 후
잠실동,리센츠,84.99,231000,2008,2023-06-23,23,석촌역,개통 후
잠실동,리센츠,84.99,235000,2008,2023-08-12,23,석촌역,개통 후
