법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
가락동,가락(1차)쌍용아파트,59.92,43000,1997,2013-01-22,12,석촌역,개통 전
문정동,올림픽훼밀리타운,117.585,77000,1988,2013-01-29,8,석촌역,개통 전
잠실동,레이크팰리스,116.19,98500,2006,2013-01-30,19,석촌역,개통 전
잠실동,잠실엘스,84.8,82300,2008,2013-01-25,6,석촌역,개통 전
가락동,시영2,56.17,80500,1982,2013-01-28,4,석촌역,개통 전
방이동,올림픽선수기자촌1단지,121.23,98500,1988,2013-01-31,7,석촌역,개통 전
풍납동,한강극동,59.26,35800,1995,2013-01-21,5,석촌역,개통 전
가락동,시영1,51.4,59000,1980,2013-01-24,3,석촌역,개통 전
문정동,문정래미안,120.97,76000,2004,2013-01-25,4,석촌역,개통 전
잠실동,리센츠,84.99,88800,2008,2013-01-21,7,석촌역,개통 전
가락동,시영1,40.09,47500,1980,2013-01-23,4,석촌역,개통 전
장지동,송파파인타운3단지,84.94,53500,2008,2013-01-26,4,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,88400,1978,2013-01-30,15,석촌역,개통 전
문정동,올림픽훼밀리타운,84.751,63000,1988,2013-01-17,3,석촌역,개통 전
잠실동,잠실엘스,84.97,86000,2008,2013-01-24,8,석촌역,개통 전
송파동,래미안송파파인탑,64.99,55800,2012,2013-01-19,6,석촌역,개통 전
신천동,장미1,71.2,53500,1979,2013-01-30,1,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,89000,1978,2013-01-24,11,석촌역,개통 전
가락동,시영1,45.12,52800,1980,2013-01-24,2,석촌역,개통 전
신천동,파크리오,84.9,72000,2008,2013-01-26,21,석촌역,개통 전
오금동,현대(2-4차),170.32,92000,1984,2013-01-31,14,석촌역,개통 전
삼전동,현대1,80.01,42000,1989,2013-01-25,3,석촌역,개통 전
신천동,파크리오,84.79,84500,2008,2013-01-28,20,석촌역,개통 전
방이동,올림픽선수기자촌3단지,83.06,71000,1988,2013-01-22,17,석촌역,개통 전
장지동,송파파인타운3단지,84.93,50000,2008,2013-01-24,10,석촌역,개통 전
신천동,미성,46.54,45000,1980,2013-01-25,10,석촌역,개통 전
문정동,올림픽훼밀리타운,117.585,74300,1988,2013-01-17,14,석촌역,개통 전
신천동,파크리오,84.79,77500,2008,2013-01-28,27,석촌역,개통 전
잠실동,잠실엘스,84.8,76000,2008,2013-01-19,3,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,65000,1988,2013-01-31,1,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,64500,1988,2013-01-28,14,석촌역,개통 전
장지동,송파파인타운4단지,84.95,50600,2008,2013-01-18,8,석촌역,개통 전
오금동,대림,125.79,75000,1988,2013-01-21,8,석촌역,개통 전
풍납동,한강극동,84.76,45500,1995,2013-01-31,13,석촌역,개통 전
잠실동,리센츠,27.68,35450,2008,2013-01-31,13,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,63500,1988,2013-01-22,12,석촌역,개통 전
장지동,송파파인타운4단지,84.95,50800,2008,2013-01-29,6,석촌역,개통 전
장지동,송파파인타운2단지,84.95,51500,2008,2013-01-18,8,석촌역,개통 전
잠실동,레이크팰리스,116.19,110000,2006,2013-01-25,19,석촌역,개통 전
문정동,문정가락현대1차,84.98,48000,1984,2013-01-17,12,석촌역,개통 전
잠실동,트리지움,84.83,82500,2007,2013-01-12,10,석촌역,개통 전
가락동,래미안파크팰리스,84.936,70000,2007,2013-01-14,20,석촌역,개통 전
신천동,장미2,99.0,75400,1979,2013-01-17,4,석촌역,개통 전
신천동,미성,55.62,58000,1980,2013-01-29,10,석촌역,개통 전
거여동,거여5단지,84.17,36500,1997,2013-01-14,13,석촌역,개통 전
오금동,현대(2-4차),84.98,59300,1984,2013-01-18,14,석촌역,개통 전
오금동,우창,76.42,40000,1985,2013-01-24,11,석촌역,개통 전
거여동,금호어울림,101.98,54000,2003,2013-01-21,7,석촌역,개통 전
방이동,올림픽선수기자촌1단지,100.82,70500,1988,2013-01-11,3,석촌역,개통 전
잠실동,리센츠,84.99,85000,2008,2013-01-17,9,석촌역,개통 전
삼전동,현대1,80.01,41000,1989,2013-01-23,5,석촌역,개통 전
문정동,올림픽훼밀리타운,158.705,96000,1988,2013-01-15,1,석촌역,개통 전
방이동,올림픽선수기자촌3단지,135.99,110000,1988,2013-01-11,9,석촌역,개통 전
방이동,올림픽선수기자촌2단지,100.31,77000,1988,2013-01-25,7,석촌역,개통 전
장지동,송파파인타운12단지,84.76,58000,2011,2013-01-30,13,석촌역,개통 전
풍납동,미성,116.965,45000,1985,2013-01-28,2,석촌역,개통 전
잠실동,잠실엘스,84.8,87200,2008,2013-01-27,15,석촌역,개통 전
신천동,파크리오,59.95,65700,2008,2013-01-14,21,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,37600,1997,2013-01-15,17,석촌역,개통 전
풍납동,대아(제101상가동),84.99,38100,1998,2013-01-28,3,석촌역,개통 전
잠실동,잠실엘스,59.96,66500,2008,2013-01-29,5,석촌역,개통 전
신천동,미성,75.09,71000,1980,2013-01-21,9,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,42500,1997,2013-01-04,12,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,89500,1978,2013-01-10,6,석촌역,개통 전
