개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자
3140000,PHMA220193140033021200001,2019.12.13,,01,영업/정상,13,영업중,,,,,02-2601-7111,7140.05,,서울특별시 양천구 신정동 1268 복합메디컬타운,"서울특별시 양천구 중앙로 181, 복합메디컬타운 3~8층 (신정동)",08106,서울스마트요양병원,2024.4.16 11:28,U,2023.12.3 23:08,요양병원(일반요양병원),187181.2848,445624.3665,,,,,,,,,,,,,,,,
3060000,PHMA220203060034021200001,2020.5.29,,01,영업/정상,13,영업중,,,,,02-2038-0100,820.24,,,"서울특별시 중랑구 망우로 400, 2층~3층(201호~204호,301호~304호) (망우동)",02163,경동한방병원,2023.12.18 9:22,U,2022.11.1 22:00,한방병원,208463.2481,455158.8336,,,,,,,,,,,,,,,,
3220000,PHMA219833220033021200002,1983.4.4,,01,영업/정상,13,영업중,,,,,02-2019-3114,88073.48,,서울특별시 강남구 도곡동 146-92 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",06273,연세대학교의과대학 강남세브란스병원,2024.2.1 17:14,U,2023.12.2 0:03,종합병원,204044.9151,443372.9217,,,,,,,,,,,,,,,,
3090000,PHMA220073090033021200001,2007.5.22,,01,영업/정상,13,영업중,,,,,02-902-3294,2569.63,,서울특별시 도봉구 쌍문동 509번지 1호 백운빌딩,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)",01365,퍼스트요양병원,2024.4.17 15:34,U,2023.12.3 23:09,요양병원(일반요양병원),201177.7432,461734.8035,,,,,,,,,,,,,,,,
3220000,PHMA220223220033021200001,2022.2.4,,03,폐업,03,폐업,2023.2.15,,,,02-6205-1075,,,,"서울특별시 강남구 도산대로 121, YK타워 (신사동)",06035,다이트한방병원,2023.2.4 19:25,U,2022.12.2 0:06,한방병원,,,,,,,,,,,,,,,,,,
3170000,PHMA220073170035021200001,2007.1.3,,01,영업/정상,13,영업중,,,,,02-867-7056,,153-801,서울특별시 금천구 가산동 151번지 36호,서울특별시 금천구 가산로 122 (가산동),08529,성지병원,2023.7.7 8:13,U,2022.12.6 23:04,정신병원,190457.7728,441601.3257,,,,,,,,,,,,,,,,
3220000,PHMA220093220033021200007,2009.11.30,,01,영업/정상,13,영업중,,,,,02-6925-1111,2201.9,,,"서울특별시 강남구 역삼로 245, 지하2층일부 1층일부 2~7층 (역삼동)",06225,하나이비인후과병원,2024.1.11 22:01,U,2023.11.30 23:03,병원,203732.3023,443970.1198,,,,,,,,,,,,,,,,
3230000,PHMA220223230034021200004,2022.12.2,,01,영업/정상,13,영업중,,,,,02-501-1652,2325.25,,서울특별시 송파구 가락동 48-3 지하2층~지상7층,"서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)",05706,리워크병원,2024.4.12 11:20,U,2023.12.3 23:04,병원,210574.0379,444069.1846,,,,,,,,,,,,,,,,
3150000,PHMA220233150037021200001,2023.5.3,,01,영업/정상,13,영업중,,,,,02-1600-8205,,,서울특별시 강서구 내발산동 654,서울특별시 강서구 강서로 357 (내발산동),07632,서울필병원,2023.5.3 11:16,I,2022.12.5 0:07,병원,185569.3929,450611.0743,,,,,,,,,,,,,,,,
3210000,PHMA220183210034021200001,2018.6.26,,01,영업/정상,13,영업중,,,,,02-587-8875,2480.74,,서울특별시 서초구 서초동 1515번지 4호 서원빌딩,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",06668,올바로병원,2024.3.6 10:34,U,2023.12.3 0:09,병원,200324.6264,442669.6497,,,,,,,,,,,,,,,,
3220000,PHMA220233220033021200001,2023.7.28,,01,영업/정상,13,영업중,,,,,02-333-8801,2687.55,,"서울특별시 강남구 삼성동 52-17 마디빌딩 지하3층~지하1층,2층~9층","서울특별시 강남구 삼성로 646, 마디빌딩 B3~B1,2~9층 (삼성동)",06084,청담해리슨병원,2023.9.4 11:16,U,2022.12.9 0:06,병원,204457.767,446164.9863,,,,,,,,,,,,,,,,
