                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75265,                 3.5726,                 1.2802,                0.01317,                      1,                0.19703,                 0.1385,                0.34533,                 6.5119,                0.68122,              9.997e-05,              9.997e-05,              9.997e-05
                      2,                0.54165,                 2.5914,                 1.1281,                0.01117,                0.50575,                0.20559,                0.16503,                0.43701,                 5.6946,                0.71584,             0.00020694,             0.00020694,             0.00020694
                      3,                0.54121,                 1.6883,                 1.1183,                0.76621,                0.04283,                0.12533,                0.08461,                0.55636,                 4.8219,                0.77731,             0.00031321,             0.00031321,             0.00031321
                      4,                 0.5282,                 1.3827,                 1.0935,                0.58734,                0.10894,                 0.1532,                0.11213,                0.50248,                 4.2484,                0.74984,             0.00041876,             0.00041876,             0.00041876
                      5,                  0.507,                  1.273,                 1.0669,                0.78029,                0.07882,                0.13642,                0.08914,                0.59725,                 4.3421,                0.82313,             0.00052361,             0.00052361,             0.00052361
                      6,                0.51555,                 1.1404,                 1.0633,                0.48067,                0.06286,                0.12427,                 0.0818,                0.66562,                   4.13,                0.86034,             0.00062774,             0.00062774,             0.00062774
                      7,                0.47546,                 1.0038,                 1.0223,                0.64881,                0.09167,                0.10398,                0.07727,                0.72372,                 5.5904,                0.88516,             0.00073116,             0.00073116,             0.00073116
                      8,                0.52459,                0.99885,                   1.04,                 0.4845,                0.08426,                0.08153,                0.05132,                0.68196,                 2.8062,                0.86376,             0.00075124,             0.00075124,             0.00075124
                      9,                0.53172,                0.97244,                 1.0562,                0.67279,                0.10664,                0.10334,                0.07405,                 0.5774,                 2.3095,                0.80975,              0.0007487,              0.0007487,              0.0007487
                     10,                0.48151,                0.89757,                 1.0282,                0.68653,                0.10508,                0.09481,                0.06564,                0.70484,                 2.8013,                0.87684,             0.00074616,             0.00074616,             0.00074616
                     11,                0.49187,                0.87333,                 1.0375,                0.88293,                0.07261,                0.06923,                 0.0558,                0.65878,                 3.1263,                 0.8486,             0.00074362,             0.00074362,             0.00074362
                     12,                0.48058,                0.81322,                 1.0333,                0.40779,                0.07067,                0.06285,                 0.0518,                0.56175,                 2.4185,                0.77959,             0.00074109,             0.00074109,             0.00074109
                     13,                0.48824,                 0.7881,                 1.0435,                0.79994,                 0.0764,                0.07674,                0.05869,                0.64001,                 2.5734,                0.79097,             0.00073855,             0.00073855,             0.00073855
                     14,                0.46678,                0.74678,                 1.0163,                0.65593,                0.08796,                0.07776,                 0.0647,                0.52855,                 2.1092,                0.74452,             0.00073601,             0.00073601,             0.00073601
                     15,                0.44256,                0.71063,                 1.0079,                0.49685,                0.06868,                0.07393,                0.05662,                0.66914,                 1.8816,                0.86719,             0.00073347,             0.00073347,             0.00073347
                     16,                0.47001,                0.70516,                   1.04,                0.58988,                0.07336,                0.07873,                0.05834,                0.79811,                 2.4541,                0.93564,             0.00073093,             0.00073093,             0.00073093
                     17,                0.44953,                0.67494,                 1.0132,                0.45233,                0.08158,                  0.075,                0.06224,                0.46951,                 1.5015,                   0.73,              0.0007284,              0.0007284,              0.0007284
                     18,                0.43444,                0.66657,                 1.0039,                0.62481,                0.07687,                0.07817,                 0.0578,                0.57877,                 1.8826,                0.79461,             0.00072586,             0.00072586,             0.00072586
                     19,                0.42834,                0.63388,                 1.0028,                0.94805,                0.07841,                0.08402,                0.06799,                0.49147,                 1.5852,                0.71764,             0.00072332,             0.00072332,             0.00072332
                     20,                0.44978,                 0.6402,                 1.0164,                0.91451,                0.07246,                0.08093,                0.06325,                0.55737,                 1.7951,                0.78428,             0.00072078,             0.00072078,             0.00072078
                     21,                0.42333,                0.62003,                0.99808,                0.83503,                0.03478,                 0.0397,                0.03027,                0.45216,                 1.8402,                0.70637,             0.00071825,             0.00071825,             0.00071825
                     22,                0.43914,                0.60624,                 1.0036,                0.97731,                0.03492,                 0.0446,                0.02997,                0.45821,                  2.019,                 0.7072,             0.00071571,             0.00071571,             0.00071571
                     23,                0.42058,                0.58244,                0.99089,                0.96359,                0.03122,                0.03589,                0.02482,                0.53246,                 1.3827,                0.75791,             0.00071317,             0.00071317,             0.00071317
                     24,                0.40195,                0.56609,                0.98072,                0.97062,                 0.0418,                0.04247,                 0.0302,                0.46053,                 1.3399,                0.69322,             0.00071063,             0.00071063,             0.00071063
                     25,                0.37789,                0.53874,                0.96087,                0.96762,                 0.0455,                0.05077,                0.04258,                0.45535,                 1.1297,                0.68983,              0.0007081,              0.0007081,              0.0007081
                     26,                0.39388,                0.53163,                0.97661,                0.99021,                0.03122,                0.03793,                0.02984,                0.39608,                0.95619,                0.66529,             0.00070556,             0.00070556,             0.00070556
                     27,                0.40296,                0.48792,                0.97466,                 0.9825,                0.03664,                0.04883,                0.03409,                0.42347,                 0.9911,                 0.6842,             0.00070302,             0.00070302,             0.00070302
                     28,                0.39651,                 0.4924,                0.97756,                0.94781,                0.04021,                0.04722,                0.03419,                0.39168,                0.96903,                0.65768,             0.00070048,             0.00070048,             0.00070048
                     29,                0.38769,                 0.4902,                0.98487,                0.98515,                0.03294,                0.04865,                 0.0354,                0.36397,                0.90023,                0.65067,             0.00069794,             0.00069794,             0.00069794
                     30,                0.37607,                0.47526,                0.96963,                0.77235,                 0.0578,                0.05763,                 0.0477,                0.44319,                 1.1261,                0.70446,             0.00069541,             0.00069541,             0.00069541
                     31,                0.37809,                0.48714,                0.96421,                0.96828,                0.03122,                0.04148,                0.02823,                 0.4655,                 1.1553,                0.72345,             0.00069287,             0.00069287,             0.00069287
                     32,                0.37243,                0.48554,                0.96892,                0.91934,                 0.0504,                0.05664,                 0.0422,                0.54421,                  1.326,                 0.7568,             0.00069033,             0.00069033,             0.00069033
                     33,                 0.3706,                0.46391,                0.97363,                0.95626,                0.04921,                0.05538,                0.04148,                0.59419,                  1.566,                 0.8135,             0.00068779,             0.00068779,             0.00068779
                     34,                0.38069,                0.46429,                0.97498,                0.97391,                0.03492,                0.04017,                 0.0291,                0.50239,                 1.6628,                0.76809,             0.00068526,             0.00068526,             0.00068526
                     35,                0.36351,                 0.4476,                0.95634,                0.92962,                0.07197,                0.12153,                0.08483,                0.54393,                 2.7793,                 0.7524,             0.00068272,             0.00068272,             0.00068272
                     36,                0.34755,                0.40599,                0.95047,                0.91329,                0.03981,                0.05671,                0.04179,                0.37332,                 1.0244,                0.64456,             0.00068018,             0.00068018,             0.00068018
                     37,                0.34958,                0.41276,                0.94889,                0.95314,                 0.0444,                0.06069,                0.04435,                0.37591,                0.93345,                0.65361,             0.00067764,             0.00067764,             0.00067764
                     38,                0.35507,                0.41014,                0.95159,                0.95466,                 0.0455,                0.05497,                0.04249,                0.43386,                 1.1107,                0.70238,             0.00067511,             0.00067511,             0.00067511
                     39,                0.37308,                0.44404,                0.95921,                0.77357,                0.05805,                0.08125,                0.06329,                0.58056,                 1.8186,                0.78536,             0.00067257,             0.00067257,             0.00067257
                     40,                0.35629,                0.42723,                0.96741,                0.98298,                 0.0455,                0.05747,                0.04209,                0.43846,                0.90925,                0.69705,             0.00067003,             0.00067003,             0.00067003
                     41,                0.34028,                0.39988,                0.95269,                0.74714,                0.06254,                0.08309,                0.05581,                0.52904,                 1.2762,                0.74487,             0.00066749,             0.00066749,             0.00066749
                     42,                0.35549,                0.39466,                0.95201,                0.94633,                0.06723,                0.07356,                 0.0569,                0.52734,                 1.3021,                0.72314,             0.00066495,             0.00066495,             0.00066495
                     43,                0.35811,                0.41296,                0.95919,                0.77628,                0.04897,                0.05604,                0.04306,                0.55649,                 1.5986,                0.76163,             0.00066242,             0.00066242,             0.00066242
                     44,                0.35235,                0.39387,                0.96129,                0.84482,                0.07966,                 0.1085,                0.08716,                0.40411,                0.82926,                0.66717,             0.00065988,             0.00065988,             0.00065988
                     45,                0.35276,                0.37389,                0.95508,                 0.8673,                0.10942,                0.12946,                0.10855,                0.39029,                0.77835,                0.65143,             0.00065734,             0.00065734,             0.00065734
                     46,                0.35697,                 0.3874,                  0.954,                0.91488,                0.07751,                0.09774,                0.07072,                0.42206,                0.87671,                0.68722,              0.0006548,              0.0006548,              0.0006548
                     47,                0.33385,                0.36147,                0.93348,                0.96058,                0.04722,                0.06543,                0.05064,                0.40438,                0.90293,                0.67375,             0.00065227,             0.00065227,             0.00065227
                     48,                0.34687,                0.37666,                0.94278,                0.96474,                0.07037,                0.08127,                0.06559,                0.37789,                0.88619,                0.66001,             0.00064973,             0.00064973,             0.00064973
                     49,                0.33461,                0.35787,                0.95027,                0.91795,                0.10813,                0.12462,                0.11447,                0.39669,                0.89364,                0.66808,             0.00064719,             0.00064719,             0.00064719
                     50,                0.35555,                0.38853,                0.95564,                0.84783,                0.13421,                0.14865,                 0.1206,                0.42724,                0.86383,                0.68844,             0.00064465,             0.00064465,             0.00064465
                     51,                0.34842,                0.36974,                0.95247,                0.86546,                 0.1307,                0.15574,                  0.129,                0.41258,                0.93375,                0.67418,             0.00064212,             0.00064212,             0.00064212
                     52,                0.33368,                0.35962,                0.95776,                0.91156,                0.06942,                 0.1401,                0.12803,                0.41195,                0.96446,                0.68486,             0.00063958,             0.00063958,             0.00063958
                     53,                0.34069,                0.37603,                0.94983,                0.95268,                0.07471,                0.11575,                0.09556,                0.37018,                0.81524,                0.64606,             0.00063704,             0.00063704,             0.00063704
                     54,                0.32888,                0.35643,                0.94823,                0.93604,                0.18379,                0.21907,                0.15722,                 0.4295,                0.97726,                0.69305,              0.0006345,              0.0006345,              0.0006345
                     55,                0.33663,                0.36572,                0.95034,                0.89521,                0.21956,                0.25099,                0.20447,                0.41145,                 0.8418,                0.68232,             0.00063196,             0.00063196,             0.00063196
                     56,                0.33564,                0.36124,                 0.9432,                0.76633,                0.13175,                0.16041,                0.13856,                 0.3604,                0.99377,                0.64635,             0.00062943,             0.00062943,             0.00062943
                     57,                0.33477,                0.35157,                  0.946,                0.78367,                0.20165,                0.24502,                 0.1982,                0.42451,                 1.1744,                0.69276,             0.00062689,             0.00062689,             0.00062689
                     58,                0.32273,                0.34233,                0.94204,                0.88128,                0.20313,                0.23566,                0.20301,                0.36391,                0.77354,                0.65302,             0.00062435,             0.00062435,             0.00062435
                     59,                0.32242,                0.34433,                0.94461,                0.92966,                0.27506,                 0.3129,                0.27468,                 0.4072,                0.86175,                0.69356,             0.00062181,             0.00062181,             0.00062181
